"date","value","volume"
"2016-01-20",212.12,1550
"2016-01-21",243.93,92144
"2016-01-22",280.51,29488
"2016-01-25",312.48,92224
"2016-01-26",321.68,75420
"2016-01-27",287.71,76917
"2016-01-28",280,1228
"2016-01-29",284.99,7010
"2016-02-01",280,4160
"2016-02-02",283.1,2829
"2016-02-03",280.05,8468
"2016-02-04",309.02,170
"2016-02-05",300,5000
"2016-02-08",306.65,10100
"2016-02-12",310,1000
"2016-02-16",310,2142
"2016-02-17",314.76,11985
"2016-02-19",319.6,9284
"2016-02-22",323,1100
"2016-02-23",323.31,10490
"2016-02-25",324.79,3060
"2016-02-26",324.92,17492
"2016-02-29",326,110
"2016-03-01",325,2776
"2016-03-02",325,290
"2016-03-03",325,15
"2016-03-09",323.74,978
"2016-03-11",317.08,479
"2016-03-14",313.13,2297
"2016-03-15",300.04,2414
"2016-03-16",310,1
"2016-03-17",305.34,307
"2016-03-18",319.9,1
"2016-03-21",305,2235
"2016-03-22",305,1500
"2016-03-23",305,1200
"2016-03-23",305,1200
"2016-03-25",304.61,519
"2016-03-28",303,167
"2016-03-29",302.67,261
"2016-03-30",303,20
"2016-03-31",305,1000
"2016-04-01",300.18,110
"2016-04-06",300,75
"2016-04-07",295,705
"2016-04-08",295,2000
"2016-04-11",292,26
"2016-04-12",294.21,5035
"2016-04-13",293,300
"2016-04-14",291.73,3681
"2016-04-18",288,1313
"2016-04-20",288,222
"2016-04-21",300.92,28315
"2016-04-22",290,19
"2016-05-02",280,61
"2016-05-03",260,10000
"2016-05-05",260.68,7509
"2016-05-09",280,100
"2016-05-16",289.51,150927
"2016-05-19",289,2538
"2016-05-23",301.94,1700
"2016-05-26",290,1000
"2016-05-30",295,150
"2016-06-08",295,362
"2016-06-13",280,498
"2016-06-14",285,100
"2016-06-15",280.25,2041
"2016-06-16",294.49,2655
"2016-06-23",297.09,780
"2016-06-28",299,1100
"2016-06-30",299,580
"2016-07-01",298.99,671991
"2016-07-04",299,1200
"2016-07-05",290,972
"2016-07-08",299,419
"2016-07-19",295,300
"2016-07-20",299,485
"2016-07-21",297,190000
"2016-08-15",283.78,823
"2016-08-19",285,215
"2016-08-23",282.15,253
"2016-08-24",282,50
"2016-08-29",278,159
"2016-08-31",282,16
"2016-09-01",282,531
"2016-09-08",279,1
"2016-09-12",279,400
"2016-09-14",275.1,100
"2016-09-15",279,500
"2016-09-16",279,30
"2016-09-21",278,1313
"2016-09-22",275.08,1874
"2016-09-23",275,425
"2016-09-27",240,1000
"2016-09-28",240.1,49
"2016-09-29",275,322531
"2016-09-30",289.5,9569
"2016-10-03",290,1500
"2016-10-04",278.31,2185
"2016-10-05",278.08,527
"2016-10-12",280,100
"2016-10-17",277,100
"2016-10-18",278,544
"2016-10-20",277,1200
"2016-10-21",279,180
"2016-10-25",278,200
"2016-11-02",239.43,26
"2016-11-03",270,1852905
"2016-11-04",275.21,573
"2016-11-07",277.84,2245
"2016-11-08",278,1775
"2016-11-09",278,66
"2016-11-10",278,68
"2016-11-11",277.99,3208
"2016-11-14",300,800
"2016-11-17",300,602
"2016-11-22",296.63,15999
"2016-11-24",302.86,700
"2016-11-29",340,845
"2016-11-30",339.2,15212
"2016-12-01",339.87,228
"2016-12-02",324.49,6995
"2016-12-05",325.06,1668
"2016-12-06",340.39,3274
"2016-12-07",341.99,4290
"2016-12-08",325.41,1450
"2016-12-09",342.76,5487
"2016-12-12",329.79,18584
"2016-12-13",325,4854
"2016-12-15",339.06,75610
"2016-12-16",332.87,2046818
"2016-12-19",340,530
"2016-12-21",337.02,3354
"2016-12-22",340,500
"2016-12-23",340,200
"2016-12-26",340,130
"2016-12-27",339.95,9919
"2016-12-28",339.86,1249
"2017-01-02",332.13,1172
"2017-01-04",315.77,38483
"2017-01-05",330,118
"2017-01-06",315,17076
"2017-01-10",318.49,10000
"2017-01-17",355,96
"2017-01-18",353.58,1317
"2017-01-19",360.35,3494
"2017-01-20",365.05,4286
"2017-01-23",363.79,16896
"2017-01-24",360.01,14658
"2017-01-25",364.87,750
"2017-01-26",359.97,33180
"2017-01-27",360.03,54213
"2017-01-30",360.03,17873
"2017-01-31",360.21,9725
